类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
Z040303,珠宝与奢侈品,,巨潮行业分类标准,008002,Jewelry and Luxury Goods,Z0403,3
Z04030301,珠宝与奢侈品,,巨潮行业分类标准,008002,Jewelry and Luxury Goods,Z040303,4
Z0404,消费者服务,,巨潮行业分类标准,008002,Consumer Services,Z04,2
Z040401,酒店餐饮与休闲,,巨潮行业分类标准,008002,"Hotels, Restaurants and Leisure",Z0404,3
Z04040101,旅游,,巨潮行业分类标准,008002,Travel & Tourism,Z040401,4
Z04040102,酒店,,巨潮行业分类标准,008002,Hotels,Z040401,4
Z04040103,餐饮,,巨潮行业分类标准,008002,Restaurants,Z040401,4
Z04040104,休闲设施,,巨潮行业分类标准,008002,Leisure Facilities,Z040401,4
Z040402,其他消费者服务,,巨潮行业分类标准,008002,Diversified Consumer Services,Z0404,3
Z04040201,教育服务,,巨潮行业分类标准,008002,Education Services,Z040402,4
Z04040202,特殊消费者服务,,巨潮行业分类标准,008002,Specialized Consumer Services,Z040402,4
Z0405,传媒,,巨潮行业分类标准,008002,Media,Z04,2
Z040501,传媒,,巨潮行业分类标准,008002,Media,Z0405,3
Z04050101,广告,,巨潮行业分类标准,008002,Advertising,Z040501,4
Z04050102,广播与有线电视,,巨潮行业分类标准,008002,Broadcasting and  Cable TV,Z040501,4
Z04050103,电影与娱乐,,巨潮行业分类标准,008002,Movies and Entertainment,Z040501,4
Z04050104,出版,,巨潮行业分类标准,008002,Publishing,Z040501,4
Z0406,零售业,,巨潮行业分类标准,008002,Retailing,Z04,2
Z040601,消费品经销商,,巨潮行业分类标准,008002,Distributors,Z0406,3
Z04060101,消费品经销商,,巨潮行业分类标准,008002,Distributors,Z040601,4
Z040602,网络零售,,巨潮行业分类标准,008002,Internet Retail,Z0406,3
Z04060201,网络零售,,巨潮行业分类标准,008002,Internet Retail,Z040602,4
Z040603,百货商店,,巨潮行业分类标准,008002,Department Stores,Z0406,3
Z04060301,百货商店,,巨潮行业分类标准,008002,Department Stores,Z040603,4
Z040604,专营零售,,巨潮行业分类标准,008002,Specialty Retail,Z0406,3
Z04060401,电脑与电子产品零售,,巨潮行业分类标准,008002,Computer & Electronics Retail,Z040604,4
Z04060402,汽车零售,,巨潮行业分类标准,008002,Automotive Retail,Z040604,4
Z04060403,其他专营零售,,巨潮行业分类标准,008002,Other Specialized Stores,Z040604,4
Z05,主要消费,,巨潮行业分类标准,008002,Consumer Staples,Z,1
Z0501,食品与主要用品零售,,巨潮行业分类标准,008002,Food & Staples Retailing,Z05,2
Z050101,食品与主要用品零售,,巨潮行业分类标准,008002,Food & Staples Retailing,Z0501,3
Z05010102,食品与日用品零售,,巨潮行业分类标准,008002,Food and Non-durable household products Retail,Z050101,4
Z05010103,食品分销商,,巨潮行业分类标准,008002,Food Distributors,Z050101,4
Z0502,农牧渔产品,,巨潮行业分类标准,008002,"Agriculture, Animal husbandry, Fishery Products",Z05,2
Z050201,农牧渔产品,,巨潮行业分类标准,008002,"Agriculture, Animal husbandry, Fishery Products",Z0502,3
Z05020101,农业产品,,巨潮行业分类标准,008002,Agricultural Products,Z050201,4
Z05020102,畜牧产品,,巨潮行业分类标准,008002,Livestock Products,Z050201,4
Z05020103,渔业产品,,巨潮行业分类标准,008002,Fishery Products,Z050201,4
Z0503,食品饮料与烟草,,巨潮行业分类标准,008002,"Food, Beverage and Tobacco",Z05,2
Z050301,食品,,巨潮行业分类标准,008002,Food Products,Z0503,3
Z05030101,包装食品与肉类,,巨潮行业分类标准,008002,Packaged Foods and Meats,Z050301,4
Z05030102,调味品与食品添加剂,,巨潮行业分类标准,008002,Spices and Food Additives,Z050301,4
Z05030103,乳制品,,巨潮行业分类标准,008002,Dairy Products,Z050301,4
Z050302,饮料,,巨潮行业分类标准,008002,Beverages,Z0503,3
Z05030201,白酒,,巨潮行业分类标准,008002,White Spirit,Z050302,4
Z05030202,啤酒,,巨潮行业分类标准,008002,Brewers,Z050302,4
Z05030203,其他酿酒商,,巨潮行业分类标准,008002,Other Distillers and Vintners,Z050302,4
Z05030204,软饮料,,巨潮行业分类标准,008002,Soft Drinks,Z050302,4
Z050303,烟草,,巨潮行业分类标准,008002,Tobacco,Z0503,3
Z05030301,烟草,,巨潮行业分类标准,008002,Tobacco,Z050303,4
Z0504,家庭与个人用品,,巨潮行业分类标准,008002,Household & Personal Products,Z05,2
