类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
C337,搪瓷制品制造,,中国上市公司协会上市公司行业分类标准,008001,Enamel Products Manufacturing,C33,3
C338,金属制日用品制造,,中国上市公司协会上市公司行业分类标准,008001,Metal Daily Necessities Manufacturing,C33,3
C339,铸造及其他金属制品制造,,中国上市公司协会上市公司行业分类标准,008001,Casting and Other Metal Products Manufacturing,C33,3
C34,通用设备制造业,,中国上市公司协会上市公司行业分类标准,008001,General Machinery Manufacturing,CG,2
C341,锅炉及原动设备制造,,中国上市公司协会上市公司行业分类标准,008001,Boiler and Prime Mover Equipment Manufacturing,C34,3
C342,金属加工机械制造,,中国上市公司协会上市公司行业分类标准,008001,Metal Processing Machinery Manufacturing,C34,3
C343,物料搬运设备制造,,中国上市公司协会上市公司行业分类标准,008001,Material Handling Equipment Manufacturing,C34,3
C344,泵、阀门、压缩机及类似机械制造,,中国上市公司协会上市公司行业分类标准,008001,"Pumps, Valves, Compressors and Similar Machinery Manufacturing",C34,3
C345,轴承、齿轮和传动部件制造,,中国上市公司协会上市公司行业分类标准,008001,"Bearings, Gears and Transmission Components Manufacturing",C34,3
C346,烘炉、风机、包装等设备制造,,中国上市公司协会上市公司行业分类标准,008001,"Ovens, Fans, Packaging and Other Equipment Manufacturing",C34,3
C347,文化、办公用机械制造,,中国上市公司协会上市公司行业分类标准,008001,Cultural and Office Machinery Manufacturing,C34,3
C348,通用零部件制造,,中国上市公司协会上市公司行业分类标准,008001,General Components Manufacturing,C34,3
C349,其他通用设备制造业,,中国上市公司协会上市公司行业分类标准,008001,Other General Machinery Manufacturing,C34,3
C35,专用设备制造业,,中国上市公司协会上市公司行业分类标准,008001,Special Machinery Manufacturing,CG,2
C351,采矿、冶金、建筑专用设备制造,,中国上市公司协会上市公司行业分类标准,008001,"Mining, Metallurgy, Construction Equipment Manufacturing",C35,3
C352,化工、木材、非金属加工专用设备制造,,中国上市公司协会上市公司行业分类标准,008001,"Chemical, Wood, Nonmetal Processing Equipment Manufacturing",C35,3
C353,食品、饮料、烟草及饲料生产专用设备制造,,中国上市公司协会上市公司行业分类标准,008001,"Food, Beverage, Tobacco and Feed Production Equipment Manufacturing",C35,3
C354,印刷、制药、日化及日用品生产专用设备制造,,中国上市公司协会上市公司行业分类标准,008001,"Printing, Pharmaceutical, Daily Chemical and Daily Necessities Production Equipment Manufacturing",C35,3
C355,纺织、服装和皮革加工专用设备制造,,中国上市公司协会上市公司行业分类标准,008001,"Textile, Garment and Leather Processing Equipment Manufacturing",C35,3
C356,电子和电工机械专用设备制造,,中国上市公司协会上市公司行业分类标准,008001,Electronic and Electrical Machinery Equipment Manufacturing,C35,3
C357,农、林、牧、渔专用机械制造,,中国上市公司协会上市公司行业分类标准,008001,"Agriculture, Forestry, Animal Husbandry, Fishing Machinery Manufacturing",C35,3
C358,医疗仪器设备及器械制造,,中国上市公司协会上市公司行业分类标准,008001,Medical Instruments and Equipment Manufacturing,C35,3
C359,环保、邮政、社会公共服务及其他专用设备制造,,中国上市公司协会上市公司行业分类标准,008001,"Environmental Protection, Postal, Social Public Services and Other Special Equipment Manufacturing",C35,3
C36,汽车制造业,,中国上市公司协会上市公司行业分类标准,008001,Automobile Manufacturing,CG,2
C361,汽车整车制造,,中国上市公司协会上市公司行业分类标准,008001,Complete Automobile Manufacturing,C36,3
C362,汽车用发动机制造,,中国上市公司协会上市公司行业分类标准,008001,Automobile Engine Manufacturing,C36,3
C363,改装汽车制造,,中国上市公司协会上市公司行业分类标准,008001,Modified Automobile Manufacturing,C36,3
C364,低速汽车制造,,中国上市公司协会上市公司行业分类标准,008001,Low-Speed Automobile Manufacturing,C36,3
C365,电车制造,,中国上市公司协会上市公司行业分类标准,008001,Trolley Manufacturing,C36,3
C366,汽车车身、挂车制造,,中国上市公司协会上市公司行业分类标准,008001,Automobile Body and Trailer Manufacturing,C36,3
C367,汽车零部件及配件制造,,中国上市公司协会上市公司行业分类标准,008001,Automotive Parts and Accessories Manufacturing,C36,3
C37,铁路、船舶、航空航天和其他运输设备制造业,,中国上市公司协会上市公司行业分类标准,008001,"Railway, Shipping, Aerospace and Other Transport Equipment Manufacturing",CG,2
C371,铁路运输设备制造,,中国上市公司协会上市公司行业分类标准,008001,Railway Transport Equipment Manufacturing,C37,3
C372,城市轨道交通设备制造,,中国上市公司协会上市公司行业分类标准,008001,Urban Rail Transit Equipment Manufacturing,C37,3
C373,船舶及相关装置制造,,中国上市公司协会上市公司行业分类标准,008001,Ships and Related Equipment Manufacturing,C37,3
C374,航空、航天器及设备制造,,中国上市公司协会上市公司行业分类标准,008001,"Aerospace, Spacecraft and Equipment Manufacturing",C37,3
C375,摩托车制造,,中国上市公司协会上市公司行业分类标准,008001,Motorcycle Manufacturing,C37,3
C376,自行车和残疾人座车制造,,中国上市公司协会上市公司行业分类标准,008001,Bicycle and Disabled Carriage Manufacturing,C37,3
C377,助动车制造,,中国上市公司协会上市公司行业分类标准,008001,Moped Manufacturing,C37,3
C378,非公路休闲车及零配件制造,,中国上市公司协会上市公司行业分类标准,008001,Off-highway Recreational Vehicles and Spare Parts Manufacturing,C37,3
C379,潜水救捞及其他未列明运输设备制造,,中国上市公司协会上市公司行业分类标准,008001,Diving Salvage and Other Unspecified Transport Equipment Manufacturing,C37,3
C38,电气机械和器材制造业,,中国上市公司协会上市公司行业分类标准,008001,Electrical Machinery and Equipment Manufacturing,CH,2
C381,电机制造,,中国上市公司协会上市公司行业分类标准,008001,Motor Manufacturing,C38,3
C382,输配电及控制设备制造,,中国上市公司协会上市公司行业分类标准,008001,Power Transmission and Distribution and Control Equipment Manufacturing,C38,3
C383,电线、电缆、光缆及电工器材制造,,中国上市公司协会上市公司行业分类标准,008001,"Wire, Cable, Optical Cable and Electrical Equipment Manufacturing",C38,3
C384,电池制造,,中国上市公司协会上市公司行业分类标准,008001,Battery Manufacturing,C38,3
C385,家用电力器具制造,,中国上市公司协会上市公司行业分类标准,008001,Household Electric Appliance Manufacturing,C38,3
C386,非电力家用器具制造,,中国上市公司协会上市公司行业分类标准,008001,Non-Electric Household Appliance Manufacturing,C38,3
C387,照明器具制造,,中国上市公司协会上市公司行业分类标准,008001,Lighting Appliance Manufacturing,C38,3
C389,其他电气机械及器材制造,,中国上市公司协会上市公司行业分类标准,008001,Other Electrical Machinery and Equipment Manufacturing,C38,3
C39,计算机、通信和其他电子设备制造业,,中国上市公司协会上市公司行业分类标准,008001,"Computers, Communication Equipment, and Other Electronic Equipment Manufacturing",CH,2
